"tegevusvaldkond";"tyyp";"ministeerium";"allasutus";"makse";"link";"variable";"value";"kanal";"naitaja"
"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"Veebileht.osutamistearv";334;"Veebileht";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.osutamistearv";1898;"Veebileht";"osutamistearv"
"Ettevõtlus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Teenustasu";"http://www.stat.ee/90732";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.rahulolu";34;"Veebileht";"rahulolu"
"Ettevõtlus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Teenustasu";"http://www.stat.ee/90732";"Veebileht.rahulolu";34;"Veebileht";"rahulolu"
"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"Veebileht.halduskulu";0;"Veebileht";"halduskulu"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Veebileht.halduskulu";NA;"Veebileht";"halduskulu"
"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.halduskulu";202500;"Veebileht";"halduskulu"
"Ettevõtlus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Teenustasu";"http://www.stat.ee/90732";"Veebileht.halduskulu";56700;"Veebileht";"halduskulu"
"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"Veebileht.ajakulu";0;"Veebileht";"ajakulu"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Veebileht.ajakulu";NA;"Veebileht";"ajakulu"
"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.ajakulu";1;"Veebileht";"ajakulu"
"Ettevõtlus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Teenustasu";"http://www.stat.ee/90732";"Veebileht.ajakulu";1;"Veebileht";"ajakulu"
"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"https://takis.tarbijakaitseamet.ee/avalik/poordumised";"Eiseteenindus.osutamistearv";0;"Eiseteenindus";"osutamistearv"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.osutamistearv";9000;"Eiseteenindus";"osutamistearv"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.osutamistearv";4000;"Eiseteenindus";"osutamistearv"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.osutamistearv";9000;"Eiseteenindus";"osutamistearv"
"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"https://takis.tarbijakaitseamet.ee/avalik/poordumised";"Eiseteenindus.rahulolu";36.79;"Eiseteenindus";"rahulolu"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.rahulolu";83;"Eiseteenindus";"rahulolu"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.rahulolu";83;"Eiseteenindus";"rahulolu"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.rahulolu";83;"Eiseteenindus";"rahulolu"
"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"https://takis.tarbijakaitseamet.ee/avalik/poordumised";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"https://takis.tarbijakaitseamet.ee/avalik/poordumised";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.ajakulu";0.1;"Eiseteenindus";"ajakulu"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.ajakulu";0.1;"Eiseteenindus";"ajakulu"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.ajakulu";0.1;"Eiseteenindus";"ajakulu"
"Riigi infosüsteemide kasutamine";"Volikiri";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/autoriseerimine_1";"Eesti.osutamistearv";15262;"Eesti";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Eesti.osutamistearv";NA;"Eesti";"osutamistearv"
"Riigi infosüsteemide kasutamine";"Volikiri";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/autoriseerimine_1";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Eesti.rahulolu";NA;"Eesti";"rahulolu"
"Riigi infosüsteemide kasutamine";"Volikiri";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/autoriseerimine_1";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Eesti.halduskulu";NA;"Eesti";"halduskulu"
"Riigi infosüsteemide kasutamine";"Volikiri";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/autoriseerimine_1";"Eesti.ajakulu";0;"Eesti";"ajakulu"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Eesti.ajakulu";NA;"Eesti";"ajakulu"
"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Epost.osutamistearv";20000;"Epost";"osutamistearv"
"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Epost.rahulolu";NA;"Epost";"rahulolu"
"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Epost.halduskulu";NA;"Epost";"halduskulu"
"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Epost.ajakulu";NA;"Epost";"ajakulu"
"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"http://www.tarbijakaitseamet.ee/et/ametist/kaebuse-infoparingu-voi-teabenoude-esitamine";"Telefon.osutamistearv";24535;"Telefon";"osutamistearv"
"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Telefon.osutamistearv";123902;"Telefon";"osutamistearv"
"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"http://www.tarbijakaitseamet.ee/et/ametist/kaebuse-infoparingu-voi-teabenoude-esitamine";"Telefon.rahulolu";0;"Telefon";"rahulolu"
"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Telefon.rahulolu";NA;"Telefon";"rahulolu"
"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"http://www.tarbijakaitseamet.ee/et/ametist/kaebuse-infoparingu-voi-teabenoude-esitamine";"Telefon.halduskulu";71944;"Telefon";"halduskulu"
"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Telefon.halduskulu";NA;"Telefon";"halduskulu"
"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"http://www.tarbijakaitseamet.ee/et/ametist/kaebuse-infoparingu-voi-teabenoude-esitamine";"Telefon.ajakulu";0.07;"Telefon";"ajakulu"
"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"http://www.mnt.ee/index.php?id=10662";"Telefon.ajakulu";NA;"Telefon";"ajakulu"
"Ohutus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/poordu-ameti-poole";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/raudteevorgustiku-teadaanded/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Merendus";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://195.80.112.238:8080/HIS/Avalik?REQUEST=Main";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://svn.eesti.ee/projektid/dvk/client/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Riigi infosüsteemide kasutamine";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://stash.ria.ee/projects/BAAS";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Riigi infosüsteemide kasutamine";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee/riha/main";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Energeetika";"Küsimustik";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/?id=10731";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Energeetika";"Teabenõue/Märgukiri/Vaie";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/?id=14157";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=594";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/teabenoue";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=168017";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=53286";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Riigi infosüsteemide kasutamine";"Toetus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.ria.ee/avalike-teenuste-arendamine-sf/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Avalike teenuste arendamine";"Aruandlus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"www.riigiteenused.ee";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Avalike teenuste arendamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.mkm.ee/et/tegevused-eesmargid/infouhiskond/infouhiskonna-teenused";"Veebileht.osutamistearv";1;"Veebileht";"osutamistearv"
"Merendus";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://mereviki.vta.ee/mediawiki/index.php/Esileht";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Avalike teenuste arendamine";"Toetus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/portaal/pjis.struktuuritoetus";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Lennundus";"Aruandlus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/lennuohutust-mojutavast-juhtumist-teatamine-2";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Riigi infosüsteemide kasutamine";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.mkm.ee/et/teenuste-otsing";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Merendus";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://www.eki.ee/dict/meri/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Merendus";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"https://www.emde.ee/vi-iloginedit";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Haridus";"Interaktiivne infoteenus";"Haridus- ja Teadusministeeriumi haldusala";"Haridus- ja Teadusministeerium";"Kliendile tasuta";"http://haridussilm.ee/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Haridus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Haridus- ja Teadusministeeriumi haldusala";"Haridus- ja Teadusministeerium";"Riigilõiv, riigimaks (tollimaks)";"https://www.hm.ee/et/tegevused/valishindamine/koolitus-voi-tegevusluba";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Haridus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Haridus- ja Teadusministeeriumi haldusala";"Haridus- ja Teadusministeerium";"Riigilõiv, riigimaks (tollimaks)";"https://www.hm.ee/et/tegevused/valishindamine/koolitus-voi-tegevusluba";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Haridus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Haridus- ja Teadusministeeriumi haldusala";"Haridus- ja Teadusministeerium";"Riigilõiv, riigimaks (tollimaks)";"https://www.hm.ee/et/tegevused/valishindamine/koolitus-voi-tegevusluba";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Haridus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Haridus- ja Teadusministeeriumi haldusala";"Haridus- ja Teadusministeerium";"Riigilõiv, riigimaks (tollimaks)";"https://www.hm.ee/et/tegevused/valishindamine/koolitus-voi-tegevusluba";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Haridus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Haridus- ja Teadusministeeriumi haldusala";"Haridus- ja Teadusministeerium";"Riigilõiv, riigimaks (tollimaks)";"https://www.hm.ee/et/tegevused/valishindamine/koolitus-voi-tegevusluba";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Merendus";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://www.vta.ee/editor/index.php?id=202";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Merendus";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://www.vta.ee/editor/index.php?id=3821";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Kultuur";"Ost/Müük/Rentimine";"Kultuuriministeeriumi haldusala";"Eesti Arhitektuurimuuseum";"Teenustasu";"http://www.arhitektuurimuuseum.ee/muuseum/pood/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Kultuur";"Ost/Müük/Rentimine";"Kultuuriministeeriumi haldusala";"Eesti Arhitektuurimuuseum";"Teenustasu";"http://www.arhitektuurimuuseum.ee/kulastus/piletihinnad/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Riigi kinnisvara";"Ost/Müük/Rentimine";"Kultuuriministeeriumi haldusala";"Eesti Arhitektuurimuuseum";"Teenustasu";"http://www.arhitektuurimuuseum.ee/muuseum/teenused/urituste-korraldamine/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Turism";"Ost/Müük/Rentimine";"Kultuuriministeeriumi haldusala";"Eesti Arhitektuurimuuseum";"Teenustasu";"http://arhitektuurimuuseum.ee/haridus/ekskursioonid/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Haridus";"Ost/Müük/Rentimine";"Kultuuriministeeriumi haldusala";"Eesti Arhitektuurimuuseum";"Teenustasu";"http://www.arhitektuurimuuseum.ee/haridus/haridusprogrammid/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Kirjastamine";"Ost/Müük/Rentimine";"Kultuuriministeeriumi haldusala";"Eesti Arhitektuurimuuseum";"Teenustasu";"http://arhitektuurimuuseum.ee/muuseum/publikatsioonid/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Kultuur";"Interaktiivne infoteenus";"Kultuuriministeeriumi haldusala";"Eesti Arhitektuurimuuseum";"Kliendile tasuta";"http://arhitektuurimuuseum.ee/raamatukogu/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Haridus";"Teabenõue/Märgukiri/Vaie";"Kultuuriministeeriumi haldusala";"Eesti Arhitektuurimuuseum";"Teenustasu";"http://arhitektuurimuuseum.ee/kogud/kogude-kasutamise-hinnakiri/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Kultuur";"Ost/Müük/Rentimine";"Kultuuriministeeriumi haldusala";"Eesti Arhitektuurimuuseum";"Kliendile tasuta";"http://www.arhitektuurimuuseum.ee/naitused/naitused-laenuks/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Kultuur";"Ost/Müük/Rentimine";"Kultuuriministeeriumi haldusala";"Eesti Arhitektuurimuuseum";"Kliendile tasuta";"http://www.arhitektuurimuuseum.ee/muuseum/teenused/naituste-eksponeerimine/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Arhiivindus";"Interaktiivne infoteenus";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Kliendile tasuta";"www.ra.ee/vau";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Arhiivindus";"Interaktiivne infoteenus";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Kliendile tasuta";"www.ra.ee/vau";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Arhiivindus";"Publikatsioon";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Teenustasu";"www.ra.ee/tuna";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Arhiivindus";"Interaktiivne infoteenus";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Kliendile tasuta";"www.ra.ee/vau";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
